step,x,y,z
118,0.4596510194167457,1.3939743657319301,0.0
119,0.4463381596331041,1.399599554909995,0.0
120,0.43298363827162034,1.405094109165518,0.0
121,0.419588804611588,1.41045784925169,0.0
122,0.4061550052963525,1.4156906105498732,0.0
123,0.3926835841723404,1.420792242951183,0.0
124,0.3791758821312885,1.4257626107366426,0.0
125,0.36563323695566696,1.4306015924559903,0.0
126,0.35205698316728773,1.4353090808052076,0.0
127,0.33844845187908895,1.4398849825028472,0.0
128,0.3248089706500847,1.4443292181652303,0.0
129,0.31113986334346677,1.4486417221805836,0.0
130,0.2974424499878454,1.4528224425821892,0.0
131,0.2837180466416128,1.456871340920613,0.0
132,0.2699679652604135,1.4607883921350824,0.0
133,0.25619351356770353,1.464573584424076,0.0
134,0.24239599492837943,1.468226919115194,0.0
